id,title,creator,date,description,format,language,thumbnail,type,contributor
https://gallica.bnf.fr/ark:/12148/bd6t5253333h,"['هذا كتاب الكشكول / لخاتمة الأدباء وكعبة الظرفاء محمد بهاء الدين العاملي (...). وبهامشه كتاب أدب الدنيا والدين تأليف العالم العلامة الحبر الفهامة الإمام الكبير المحقق الشهير أقضى القضاة أبي الحسن علي بن محمد بن حبيب البصري الماوردي', 'Hâḏā kitāb al-Kaškūl / li-ẖātimaẗ al-udabāʾ wa-kaʿbaẗ al-ẓurafāʾ Muḥammad Bahāʾ al-Dīn al-ʿĀmilī (...). wa-bi-hāmišihi kitāb Adab al-dunyā wa-al-dīn taʾlīf al-ʿālim al-ʿallāmaẗ al-ḥabr al-fahhāmaẗ al-imām al-kabīr al-muḥaqqiq al-šahīr aqḍá al-quḍāẗ Abī al-Ḥasan ʿAlī ibn Muḥammad ibn Ḥabīb al-Baṣrī al-Māwardī']","['Bahāʾ al-Dīn al-ʿĀmilī, Muḥammad ibn Ḥusayn (1547-1622). Auteur du texte', 'Māwardī, ʿAlī ibn Muḥammad ibn Ḥabīb al- (0974-1058). Auteur du texte']",1887,"['Comprend : كتاب أدب الدنيا والدين ; kitāb Adab al-dunyā wa-al-dīn', 'Appartient à l’ensemble documentaire : BbLevt0']","['351 pages ; 21 × 28 cm', 'Nombre total de vues : 361']",ara,https://gallica.bnf.fr/ark:/12148/bd6t5253333h.thumbnail,"['text', 'monographie imprimée', 'printed monograph']",
https://gallica.bnf.fr/ark:/12148/bd6t52533112,"['ال توقيعات الموسيقية لمردات الكنيسة المرقسية : الجزء الأول / للملازم أول كامل إبراهيم غبريال', 'Al-tawqīʿāt al-mūsīqiyyaẗ li-maraddāt al-kanīsaẗ al-murqusiyyaẗ : al-ǧuzʾ al-awwal / Li-l-mulāzim awwal Kāmil Ibrāhīm Ġubriāl']","Ġibriyāl, Kāmil Ibrāhīm (-1948). Auteur du texte",,Appartient à l’ensemble documentaire : BbLevt0,"['85 pages ; 16 × 24 cm', 'application/pdf', 'Nombre total de vues : 107']",,https://gallica.bnf.fr/ark:/12148/bd6t52533112.thumbnail,,"Ġibriyāl, Kāmil Ibrāhīm (-1948). Préfacier"
https://gallica.bnf.fr/ark:/12148/bd6t52533057,"['ال مدرسة الأكليريكية القبطية الأرثوذكسية بين الماضي و الحاضر 1610-1655-1893-1938 : لمناسبة مرور خمس و اربعين سنة منذ تأسيسها سنة 1893', 'Al-madrasaẗ al-iklīrīkiyyaẗ al-qibṭiyyaẗ al-urṯūḏuksiyyaẗ bayna al-māḍī wa-al-ḥāḍir 1610-1655-1893-1938 : li-munāsabaẗ murūr ẖams wa-arbaʿīn sanaẗ munḏu taʾsīsihā sanaẗ 1893', 'Ϯⲁⲛⲍⲏⲃ ⲙⲘⲉⲧⲟⲩⲏⲃ ⲛⲧⲉ ⲛⲓⲣⲉⲙⲛⲭⲏⲙⲓ ⲛⲟⲣⲑⲟⲇⲟⲝⲟⲥ']",,,"['[Al-madrasaẗ al-iklīrīkiyyaẗ al-qibṭiyyaẗ al-urṯūḏuksiyyaẗ bayna al-māḍī wa-al-ḥāḍir 1610-1655/1893-1938. 1938]', 'Appartient à l’ensemble documentaire : BbLevt0']","['318 pages ; 20 × 27 cm', 'Nombre total de vues : 335']",ara,https://gallica.bnf.fr/ark:/12148/bd6t52533057.thumbnail,"['text', 'monographie imprimée', 'printed monograph']",
https://gallica.bnf.fr/ark:/12148/bd6t52533625,"['ýالýحيوان والإنسان : وهي خاتمة وزبدة رسائل إخوان الصفاء', 'al-Ḥayawān wa-l-insān : wa-hiya ḫātimat wa-zubdat Rasāʾil Iḫwān al-Ṣafāʾ']",Auteur du texte,1913,"['[رسائل إخوان الصفاء وخلان الوفاء. 0950]', 'Appartient à l’ensemble documentaire : BbLevt0']",Nombre total de vues : 187,ara,https://gallica.bnf.fr/ark:/12148/bd6t52533625.thumbnail,"['text', 'monographie imprimée', 'printed monograph']",
https://gallica.bnf.fr/ark:/12148/bd6t52533502,"['مجموعة ابن سينا الكبرى في العلوم الروحانية والفوائد الطبية : والطب والسيميا والأبواب والعزائم والطوالع والبروج والطبائع والطلاسم وأبواب المحبة والدخول على الحكام وحل المربوط وعلى كثير من علم الرمل وعلى خلخلة الهوي الكبرى وعلى شبشبة زعزوع وشبشبة قاصور وشبشبة أبو رياح ومندل المراءة ومندل طيفور وبعض فوائد على الصحة والتجربة وخلاف ذلك والله أعلم / تأليف حكيم زمانه وفريد عصره الرئيس على بن سينا', 'Maǧmūʿat Ibn Sīnā al-kubrā fī al-ʿulūm al-rūḥāniyya wa-l-fawāʾid al-ṭibbiyya : wa-l-ṭibb wa-l-sīmiyā wa-l-abwāb wa-l-ʿazāʾim wa-l-ṭawāliʿ wa-l-burūǧ wa-l-ṭabāʾiʿ wa-l-ṭalāsim wa-abwāb al-maḥabba wa-l-duḫūl ʿalā al-ḥukkām wa-ḥall al-marbūṭ wa-ʿalā kaṯīr min ʿilm al-raml wa-ʿalā ḫalḫalat al-hawī al-kubrā wa-ʿalā šabšabat Zaʿzūʿ wa-šabšabat Qāṣūr wa-šabšabat Abū Riyāḥ wa-mandal al-Marāʾa wa-mandal Ṭayfūr wa-baʿḍ fawāʾid ʿalā al-ṣiḥḥa wa-l-taǧriba wa-ḫilāf ḏālika wa-Allāh aʿlam / Taʾlīf ḥakīm zamānihi wa-farīd aṣrihi al-raʾīs ʿAlī b. Sīnā']","['Avicenne (0980-1037). Auteur du texte', 'دار شقرون للنشر والتوزيع. Auteur du texte']",1910,"['[مجموعة ابن سينا الكبرى في العلوم الروحانية والفوائد الطبية[مجموعة ابن سينا الكبرى في العلوم الروحانية والفوائد الطبية. 10271027]', 'Appartient à l’ensemble documentaire : BbLevt0']",Nombre total de vues : 105,ara,https://gallica.bnf.fr/ark:/12148/bd6t52533502.thumbnail,"['text', 'monographie imprimée', 'printed monograph']",
https://gallica.bnf.fr/ark:/12148/bd6t5253300b,"['مناهج الألباب المصرية في مباهج الآداب العصرية / تأليف أوحد زمانه ونادرة عصره وأوانه المجد في نفع وطنه بنشر المنافع حضرة الأمير المعظم رفاعة بك رافع ناظر قلم ترجمة وأعضاء مجلس القومسيون', 'Kitāb Manāhiǧ al-albāb al-miṣriyyaẗ fī-mabāhiǧ al-ādāb al-ʿaṣriyyaẗ / taʾlīf awḥad zamānihi wa-nādiraẗ ʿaṣrihi wa-awānihi al-muǧid fī-nafʿ watanihi bi-našr al-manāfiʿ ḥadraẗ al-amīr al-muʿaẓam Rifāʿaẗ bik Rāfiʿ nāẓir qalam tarǧamaẗ wa-aʿdāʾ maǧlis al-qūmisyūn']","Ṭahṭāwī, Rifāʿaẗ Badawī Rāfiʿ al- (1801-1873). Auteur du texte",1869,Appartient à l’ensemble documentaire : BbLevt0,"['18, 296 pages ; 16 × 22 cm', 'Nombre total de vues : 323']",ara,https://gallica.bnf.fr/ark:/12148/bd6t5253300b.thumbnail,"['text', 'monographie imprimée', 'printed monograph']","['Ḥasanī, Ḥusayn. Correcteur', 'Ḥasanī, Muḥammad. Correcteur']"
https://gallica.bnf.fr/ark:/12148/bd6t5253316z,"['رابطة خريجي التوفيقية', 'Rābiṭaẗ ẖarīǧī al-tawfīqiyyaẗ']","Rābiṭaẗ ḫarīǧī al-tawfīqiyyaẗ (Shubra, Le Caire). Auteur du texte",1935,Appartient à l’ensemble documentaire : BbLevt0,"['134 pages ; 17 × 24 cm', 'Nombre total de vues : 147']",ara,https://gallica.bnf.fr/ark:/12148/bd6t5253316z.thumbnail,"['text', 'monographie imprimée', 'printed monograph']","['ʿAfīfī, Ḥāfiẓ (1887-1961). Auteur du commentaire', 'Abū Šādī, Aḥmad Zakī (1892-1955). Auteur du commentaire', 'ʿAšmāwī, Muḥammad. Auteur du commentaire', 'Abū ʿAlam, Muḥammad Ṣabrī (1893-1947). Auteur du commentaire', 'Naẓmī, ʿAbd al-ʿAzīz ibn ʿAbd al-Razzāq. Auteur du commentaire', 'Muṣṭafá, Muḥammad al-Ḥusaynī. Auteur du commentaire', 'Sāmī, Ibrāhīm. Auteur du commentaire', 'ʿĪsá, Muḥammad Ḥilmī (-1953). Auteur du commentaire', 'ʿAǧǧātī, ʿAbd al-Ḥamīd al-. Auteur du commentaire', 'Bāšā, Muḥammad Maḥmūd (1877-1941). Auteur du commentaire', 'Qāsim, Muḥammad. Auteur du commentaire', 'Maḥfūẓ, Rašwān (1886-1935 ; Pasha). Auteur du commentaire', 'Šākir, Muḥammad Kāmil. Auteur du commentaire', 'Anīs, Hasan. Auteur du commentaire', 'ʿAwaḍ, Aḥmad Ḥāfiẓ (1874-1950). Auteur du commentaire', 'Bundārī, Muḥammad Kāmil al-. Auteur du commentaire']"
https://gallica.bnf.fr/ark:/12148/bd6t52532896,"['كتاب تسهيل المنافع في الطب والحكمة المشتمل على شفاء الأجسام وكتاب الرحمة (الطبعة الأولى) / تأليف الحبر الكامل والعالم العامل العلامة الشيخ إبراهيم بن عبد الرحمن بن أبي بكر الأزرق (...) ; وعلى هامشه كتاب الطب النبوي للإمام الهمام المحدث الحافظ أبي عبد الله محمد بن أحمد بن عثمان الذهبي (...)', 'Kitāb Tashīl al-manāfiʿ fī al-ṭibb wa-al-ḥikmaẗ al-muštamil ʿalá šifāʾ al-aǧsām wa-kitāb al-raḥmaẗ (الطبعة الأولى) / Taʾlīf al-ḥabr al-kāmil wa-al-ʿālim al-ʿāmil al-ʿallāmaẗ al-šayḫ Ibrāhīm ibn ʿAbd al-Raḥmān ibn Abī Bakr al-Azraq ; wa ʿalá hāmišihi Kitāb al-Ṭibb al-nabawī li-l Imām al-humām al-muḥaddiṯ al-ḥāfiẓ Abī ʿAbd Allāh Muḥammad ibn Aḥmad ibn ʿUṯmān al-Ḏahabī']","Ibn al-Azraq, Ibrāhīm ibn ʿAbd al-Raḥmān (-après 1485). Auteur du texte",1891,"['Comprend : al-Ḏahabī, Muḥammad ibn Aḥmad, 1274-1348 / أبو عبد الله محمد بن أحمد بن عثمان الذهبي (748هـ)', 'Appartient à l’ensemble documentaire : BbLevt0']","['184 pages ; 20 × 28 cm', 'Nombre total de vues : 193']",ara,https://gallica.bnf.fr/ark:/12148/bd6t52532896.thumbnail,"['text', 'monographie imprimée', 'printed monograph']","Fayūmī, Sayyid Ḥammād al-. Correcteur"
https://gallica.bnf.fr/ark:/12148/bpt6k9106145v,"['حاشية خاتمة المحققين ونادرة الفضلاء المدققين شيخ الإسلام وحبر الأنام أستاذنا الشيخ إبراهيم الباجوري على متن السلم في فن المنطق للإمام الأخضري (...) : وبهامشها متن السلم المذكور وتقرير المحقق العلامة المدقق الفهامة مولانا الشيخ محمد الأنبابي شمس الدين (...)', 'Ḥāšiyaẗ ḫātimaẗ al-muḥaqqiqīn wa-nādiraẗ al-mudaqqiqīn šayẖ al-islām wa-ḥabr al-anām ustāḏunā al-šayẖ Ibrāhīm al-Bāǧūrī ʿalá matn al-Sullam fī fann al-manṭiq li-l-imām al-Aḫḍarī (...) : wa-bi-hāmišihi matn al-Sullam al-maḏkūr wa-taqrīr al-muḥaqqiq al-ʿallāmaẗ al-mudaqqiq al-fahhāmaẗ mawlānā al-šayẖ Muḥammad al-Anbābī Šams al-Dīn (...)']","Bāǧūrī, Ibrāhīm ibn Muḥammad al- (1783-1860). Auteur du texte",1889,"['Comprend : الأنبابي، محمد بن محمد، 1825-1896 / محمد الأنبابي شمس الدين', 'Numérisé par le partenaire', 'Appartient à l’ensemble documentaire : BbLevt0']","['80 pages ; 20 × 27 cm', 'Nombre total de vues : 89']",ara,https://gallica.bnf.fr/ark:/12148/bpt6k9106145v.thumbnail,"['text', 'monographie imprimée', 'printed monograph']",
https://gallica.bnf.fr/ark:/12148/bpt6k9106147p,"['هذه حاشية العالم العلامة والحبر البحر الفهامة وحيد عصره وفريد دهره الفاضل الشيخ حسن العطار على شرح شيخ الإسلام زكريا الأنصاري على متن ايساغوجي في المنطق (...) : وبهامشها الشرح المذكور', 'Hâḏihī Ḥāšiyaẗ al-ʿālim al-ʿallāmaẗ wa-al-ḥabr al-baḥr al-fahhāmaẗ waḥīd ʿaṣrihi wa-farīd dahrihi al-fāḍil al-šayḫ Ḥasan al-ʿAṭṭār ʿalá Šarḥ šayḫ al-islām Zakariyā al-Anṣārī ʿalá matn Īsāġūǧī fī al-manṭiq (...) : wa-bi-hāmišihi al-Šarḥ al-maḏkūr']","ʿAṭār, Ḥasan ibn Muḥammad al- (1766?-1835). Auteur du texte",1903,"['Comprend : Zakariyā al-Anṣārī, Zakariyā ibn Muḥammad, 1423?-1520?', 'Numérisé par le partenaire', 'Appartient à l’ensemble documentaire : BbLevt0']","['98 pages ; 19 × 27 cm', 'Nombre total de vues : 107']",ara,https://gallica.bnf.fr/ark:/12148/bpt6k9106147p.thumbnail,"['text', 'monographie imprimée', 'printed monograph']",
