context,id,iiif_format,profile,resource,location-governorate-english,creator,date,format,medium,identifier,license,location-country-english,location-country-arabic,location-governorate-arabic,collection,rights,source,subject,title-english,title-arabic,type,repository
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll31:0/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll31:0/full/full/0/default.jpg,"['Cairo, governorate']","['Parker, Richard B. (Richard Bordeaux), 1923-2011']",['1965-1967?'],['image/jpeg'],['color photographs'],['2014_01_050'],"['Copyright 2018, American University in Cairo. All rights reserved.']",['Egypt'],['مصر'],['محافظة القاهرة'],['Richard B. Parker Nile Watercraft Photograph Collection'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']","['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll31/id/0"">Moored feluccas</a></span>']",['Boats'],['Moored feluccas'],['قوارب شراعية راسية'],['Still image'],['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll31:1/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll31:1/full/full/0/default.jpg,"['Cairo, governorate']","['Parker, Richard B. (Richard Bordeaux), 1923-2011']",['1965-1967?'],['image/jpeg'],['color photographs'],['2014_01_053'],"['Copyright 2018, American University in Cairo. All rights reserved.']",['Egypt'],['مصر'],['محافظة القاهرة'],['Richard B. Parker Nile Watercraft Photograph Collection'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']","['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll31/id/1"">Docked boat</a></span>']",['Boats'],['Docked boat'],['قارب شراعي راسي'],['Still image'],['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll31:2/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll31:2/full/full/0/default.jpg,"['Cairo, governorate']","['Parker, Richard B. (Richard Bordeaux), 1923-2011']",['1965-1967?'],['image/jpeg'],['color photographs'],['2014_01_005'],"['Copyright 2018, American University in Cairo. All rights reserved.']",['Egypt'],['مصر'],['محافظة القاهرة'],['Richard B. Parker Nile Watercraft Photograph Collection'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']","['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll31/id/2"">Canal with feluccas and town</a></span>']",['Boats'],['Canal with feluccas and town'],['ترعة مع قارب شراعي والمدينة'],['Still image'],['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll31:3/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll31:3/full/full/0/default.jpg,"['Cairo, governorate']","['Parker, Richard B. (Richard Bordeaux), 1923-2011']",['1965-1967?'],['image/jpeg'],['color photographs'],['2014_01_063'],"['Copyright 2018, American University in Cairo. All rights reserved.']",['Egypt'],['مصر'],['محافظة القاهرة'],['Richard B. Parker Nile Watercraft Photograph Collection'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']","['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll31/id/3"">Felucca</a></span>']",['Boats'],['Felucca'],['قارب شراعي'],['Still image'],['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll31:4/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll31:4/full/full/0/default.jpg,"['Cairo, governorate']","['Parker, Richard B. (Richard Bordeaux), 1923-2011']",['1965-1967?'],['image/jpeg'],['color photographs'],['2014_01_023'],"['Copyright 2018, American University in Cairo. All rights reserved.']",['Egypt'],['مصر'],['محافظة القاهرة'],['Richard B. Parker Nile Watercraft Photograph Collection'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']","['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll31/id/4"">Nile River with bridge in Cairo</a></span>']",['Bridges--Egypt--Cairo; Boats'],['Nile River with bridge in Cairo'],['نهر النيل مع الكوبرى فى القاهرة'],['Still image'],['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll31:5/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll31:5/full/full/0/default.jpg,"['Cairo, governorate']","['Parker, Richard B. (Richard Bordeaux), 1923-2011']",['1965-1967?'],['image/jpeg'],['color photographs'],['2014_01_025'],"['Copyright 2018, American University in Cairo. All rights reserved.']",['Egypt'],['مصر'],['محافظة القاهرة'],['Richard B. Parker Nile Watercraft Photograph Collection'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']","['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll31/id/5"">Nile River in Cairo</a></span>']",['Nile River'],['Nile River in Cairo'],['نهر النيل فى القاهرة'],['Still image'],['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll31:6/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll31:6/full/full/0/default.jpg,['Not identified'],"['Parker, Richard B. (Richard Bordeaux), 1923-2011']",['1965-1967?'],['image/jpeg'],['color photographs'],['2014_01_016'],"['Copyright 2018, American University in Cairo. All rights reserved.']",['Egypt'],['مصر'],,['Richard B. Parker Nile Watercraft Photograph Collection'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']","['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll31/id/6"">Boat builders sawing lumber</a></span>']",['Boats'],['Boat builders sawing lumber'],['بناة القوارب ينشرون الخشب '],['Still image'],['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll31:7/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll31:7/full/full/0/default.jpg,"['""Markaz Kom Ombo, Aswan Governorate; Āthār Madīnat Ambūs\r\nAswān""']","['Parker, Richard B. (Richard Bordeaux), 1923-2011']",['1965-1967?'],['image/jpeg'],['color photographs'],['2014_01_007'],"['Copyright 2018, American University in Cairo. All rights reserved.']",['Egypt'],['مصر'],['مركز كوم امبو، محافظة أسوان ؛ آثار مدينة امبوس أسوان'],['Richard B. Parker Nile Watercraft Photograph Collection'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']","['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll31/id/7"">Temple of Kom Ombo</a></span>']",['Temple of Sobek and Haroeris (Ombos); Temples -- Egypt; Egypt -- Antiquities'],['Temple of Kom Ombo'],['معبد كوم امبو '],['Still image'],['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll31:8/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll31:8/full/full/0/default.jpg,"['Cairo, governorate']","['Parker, Richard B. (Richard Bordeaux), 1923-2011']",['1965-1967?'],['image/jpeg'],['color photographs'],['2014_01_015'],"['Copyright 2018, American University in Cairo. All rights reserved.']",['Egypt'],['مصر'],['محافظة القاهرة'],['Richard B. Parker Nile Watercraft Photograph Collection'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']","['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll31/id/8"">Felucca</a></span>']",['Boats'],['Felucca'],['قارب شراعي'],['Still image'],['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll31:9/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll31:9/full/full/0/default.jpg,['South Sinai Governorate '],"['Parker, Richard B. (Richard Bordeaux), 1923-2011']",['1965-1967?'],['image/jpeg'],['color photographs'],['2014_01_009'],"['Copyright 2018, American University in Cairo. All rights reserved.']",['Egypt'],['مصر'],['محافظة جنوب سيناء'],['Richard B. Parker Nile Watercraft Photograph Collection'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']","['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll31/id/9"">Saint Catherine\'s Monastery</a></span>']",['Saint Catherine (Monastery : Mount Sinai)'],"[""Saint Catherine's Monastery""]",['دير القدّيسة كاترين أو دير سانت كاترين'],['Still image'],['Rare Books and Special Collections Digital Library ']
